TempHighF,TempAvgF,TempLowF,DewPointHighF,DewPointAvgF,DewPointLowF,HumidityHighPercent,HumidityAvgPercent,HumidityLowPercent,SeaLevelPressureHighInches,SeaLevelPressureAvgInches,SeaLevelPressureLowInches,VisibilityHighMiles,VisibilityAvgMiles,VisibilityLowMiles,WindHighMPH,WindAvgMPH,WindGustMPH,PrecipitationSumInches,hrs
74,68,62,69,65,62,100,90,79,30.12,30.05,29.99,10,6,0,13,5,20,Need to predict,8040
67,63,58,64,62,56,100,97,93,30.07,29.86,29.7,10,6,0,20,7,28,Need to predict,8064
81,67,53,57,48,39,100,62,23,29.84,29.64,29.51,10,10,10,16,5,27,Need to predict,8088
66,53,40,39,32,19,76,47,18,30.2,30.06,29.88,10,10,10,15,5,28,Need to predict,8112
67,53,38,38,33,25,85,53,20,30.37,30.26,30.2,10,10,10,9,3,16,Need to predict,8136
77,60,42,37,33,27,62,40,18,30.36,30.22,30.14,10,10,10,10,3,17,Need to predict,8160
64,53,42,37,33,27,76,52,27,30.56,30.45,30.37,10,10,10,10,4,16,Need to predict,8184
72,57,42,54,45,35,82,62,41,30.38,30.24,30.09,10,10,10,14,4,24,Need to predict,8208
73,65,56,61,57,52,93,75,57,30.07,30.02,29.95,10,10,10,16,7,31,Need to predict,8232
79,72,64,63,62,59,87,71,54,30.11,30.03,29.97,10,10,10,15,7,28,Need to predict,8256
66,54,41,63,42,22,93,69,45,30.47,30.31,30.11,10,10,8,17,6,30,Need to predict,8280
50,45,39,43,32,24,80,63,45,30.45,30.33,30.21,10,10,10,10,4,16,Need to predict,8304
59,54,48,55,50,43,100,88,75,30.23,30.18,30.14,10,7,2,7,1,10,Need to predict,8328
66,62,58,65,61,55,100,94,87,30.2,30.11,30.04,10,3,1,12,3,16,Need to predict,8352
75,69,63,66,64,59,100,82,64,30.18,30.08,30.03,10,8,2,12,5,20,Need to predict,8376
69,62,55,58,51,48,90,72,53,30.38,30.32,30.19,10,10,9,13,6,20,Need to predict,8400
56,54,52,50,48,46,89,83,77,30.4,30.33,30.27,10,10,9,9,4,14,Need to predict,8424
67,58,49,49,46,45,86,69,52,30.39,30.32,30.27,10,10,8,9,3,14,Need to predict,8448
69,56,43,49,45,42,100,70,39,30.38,30.31,30.24,10,8,2,8,1,11,Need to predict,8472
66,57,47,57,50,45,93,75,56,30.27,30.2,30.15,10,9,6,8,1,11,Need to predict,8496
67,62,57,59,57,55,97,85,73,30.24,30.18,30.14,10,7,2,9,5,16,Need to predict,8520
71,65,59,58,57,56,90,78,66,30.3,30.23,30.18,10,10,9,12,5,17,Need to predict,8544
74,65,55,59,57,54,100,79,57,30.24,30.15,30.06,10,9,5,14,5,21,Need to predict,8568
74,68,61,64,62,59,100,82,64,30.07,29.94,29.84,10,9,5,14,6,26,Need to predict,8592
74,63,52,64,51,32,93,58,23,30.2,29.99,29.89,10,10,7,12,5,19,Need to predict,8616
63,55,46,36,34,32,60,47,34,30.37,30.28,30.19,10,10,10,14,5,20,Need to predict,8640
53,51,48,51,44,35,96,75,54,30.27,30.14,30.05,10,8,2,15,4,22,Need to predict,8664
60,55,49,56,51,48,100,92,84,30.14,30.1,30.06,10,4,1,12,3,17,Need to predict,8688
57,53,48,50,48,44,100,89,77,30.21,30.12,30.06,10,7,1,13,7,19,Need to predict,8712
